Days,Outlook,Temprature,Routine,Wear Jacket?
1,Sunny,Mild,Indoor,Yes
2,Rainy,Cold,Outdoor,Yes
3,Sunny,Mild,Indoor,Yes
4,Sunny,Cold,Outdoor,No
5,Sunny,Cold,Indoor,No
6,Rainy,Cold,Indoor,No
7,Cloudy,Cold,Outdoor,Yes
8,Cloudy,Mild,Indoor,Yes
9,Cloudy,Cold,Outdoor,Yes
10,Sunny,Mild,Outdoor,Yes
11,Sunny,Mild,Outdoor,Yes
12,Sunny,Cold,Indoor,Yes
13,Rainy,Warm,Outdoor,No
14,Sunny,Cold,Indoor,No
15,Cloudy,Warm,Outdoor,No
16,Rainy,Warm,Indoor,Yes
17,Rainy,Cold,Indoor,Yes
18,Cloudy,Cold,Outdoor,No
19,Sunny,Cold,Indoor,No
20,Sunny,Cold,Indoor,Yes
21,Sunny,Warm,Indoor,Yes
22,Sunny,Warm,Indoor,No
23,Rainy,Mild,Indoor,Yes
24,Sunny,Cold,Indoor,Yes
25,Cloudy,Mild,Outdoor,No
26,Sunny,Mild,Outdoor,Yes
27,Rainy,Cold,Outdoor,Yes
28,Sunny,Warm,Indoor,No
29,Sunny,Cold,Indoor,Yes
30,Rainy,Warm,Outdoor,Yes
31,Cloudy,Mild,Outdoor,No
32,Rainy,Mild,Indoor,No
33,Cloudy,Mild,Outdoor,Yes
34,Rainy,Mild,Outdoor,No
35,Cloudy,Mild,Outdoor,Yes
36,Rainy,Mild,Indoor,Yes
37,Sunny,Cold,Indoor,Yes
38,Cloudy,Cold,Indoor,Yes
39,Cloudy,Warm,Indoor,Yes
40,Rainy,Cold,Indoor,No
41,Rainy,Mild,Indoor,No
42,Sunny,Mild,Outdoor,Yes
43,Cloudy,Mild,Indoor,No
44,Cloudy,Warm,Indoor,Yes
45,Rainy,Warm,Outdoor,No
46,Rainy,Cold,Outdoor,No
47,Sunny,Mild,Indoor,No
48,Cloudy,Mild,Indoor,No
49,Sunny,Warm,Outdoor,No
50,Cloudy,Mild,Indoor,No
51,Cloudy,Mild,Outdoor,Yes
52,Cloudy,Mild,Outdoor,Yes
53,Cloudy,Warm,Outdoor,Yes
54,Sunny,Warm,Outdoor,Yes
55,Cloudy,Cold,Indoor,No
56,Rainy,Warm,Outdoor,No
57,Cloudy,Mild,Outdoor,Yes
58,Sunny,Warm,Outdoor,Yes
59,Sunny,Warm,Indoor,Yes
60,Cloudy,Cold,Indoor,Yes
61,Cloudy,Cold,Outdoor,No
62,Cloudy,Mild,Indoor,No
63,Rainy,Cold,Outdoor,No
64,Cloudy,Cold,Indoor,Yes
65,Rainy,Mild,Outdoor,Yes
66,Rainy,Cold,Outdoor,No
67,Cloudy,Cold,Indoor,Yes
68,Sunny,Cold,Outdoor,No
69,Rainy,Cold,Outdoor,No
70,Cloudy,Warm,Indoor,No
71,Rainy,Cold,Indoor,No
72,Sunny,Cold,Indoor,Yes
73,Rainy,Warm,Outdoor,No
74,Cloudy,Cold,Outdoor,Yes
75,Rainy,Mild,Indoor,Yes
76,Sunny,Cold,Outdoor,Yes
77,Sunny,Mild,Outdoor,Yes
78,Cloudy,Warm,Indoor,No
79,Sunny,Mild,Outdoor,No
80,Cloudy,Mild,Indoor,Yes
81,Cloudy,Warm,Indoor,No
82,Rainy,Mild,Indoor,Yes
83,Rainy,Cold,Outdoor,No
84,Rainy,Cold,Indoor,Yes
85,Sunny,Warm,Indoor,Yes
86,Rainy,Cold,Indoor,Yes
87,Sunny,Mild,Indoor,No
88,Cloudy,Mild,Indoor,No
89,Rainy,Mild,Indoor,Yes
90,Sunny,Mild,Indoor,Yes
91,Rainy,Mild,Indoor,Yes
92,Rainy,Warm,Outdoor,No
93,Rainy,Mild,Outdoor,Yes
94,Rainy,Warm,Outdoor,Yes
95,Cloudy,Mild,Outdoor,No
96,Rainy,Mild,Outdoor,No
97,Cloudy,Cold,Indoor,No
98,Cloudy,Mild,Indoor,Yes
99,Cloudy,Mild,Indoor,Yes
100,Cloudy,Warm,Outdoor,Yes
